Release Date,Movie Title,Production Budget,Domestic Gross,Worldwide Gross,Profit,Ratio
2/13/2018,Black Panther,200000000,700059566,1336494321,1136494321,0.149645
12/18/1997,Titanic,200000000,659363944,2207986545,2007986545,0.0905803
6/15/2018,Incredibles 2,200000000,608581744,1242805359,1042805359,0.160926
12/14/2016,Rogue One: A Star Wars Story,200000000,532177324,1055135598,855135598,0.189549
6/16/2016,Finding Dory,200000000,486295561,1025006125,825006125,0.195121
6/20/2019,Toy Story 4,200000000,434038008,1073080329,873080329,0.186379
6/18/2010,Toy Story 3,200000000,415004880,1068879522,868879522,0.187112
4/24/2013,Iron Man 3,200000000,408992272,1215392272,1015392272,0.164556
4/28/2017,Guardians of the Galaxy Vol 2,200000000,389813101,869113101,669113101,0.23012
6/30/2004,Spider-Man 2,200000000,373524485,794697557,594697557,0.251668
3/4/2010,Alice in Wonderland,200000000,334191110,1025491110,825491110,0.195029
10/26/2012,Skyfall,200000000,304360277,1110526981,910526981,0.180095
12/11/2012,The Hobbit: An Unexpected Journey,200000000,303003568,1014938545,814938545,0.197056
6/21/2013,Monsters University,200000000,268488329,743455810,543455810,0.269014
3/8/2013,Oz the Great and Powerful,200000000,234770996,490359051,290359051,0.407864
5/21/2014,X-Men: Days of Future Past,200000000,233921534,747862775,547862775,0.267429
4/16/2014,The Amazing Spider-Man 2,200000000,202853933,708996336,508996336,0.282089
6/23/2011,Cars 2,200000000,191450875,560155383,360155383,0.357044
7/7/2021,Black Widow,200000000,183651655,375620803,175620803,0.532452
7/31/2019,Fast & Furious Presents: Hobbs & Shaw,200000000,173956935,760381706,560381706,0.263026
12/17/2010,Tron: Legacy,200000000,172062763,399866199,199866199,0.500167
11/12/2009,2012,200000000,166112167,757677748,557677748,0.263964
11/14/2018,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,651280475,451280475,0.307087
11/3/2021,Eternals,200000000,157435106,383781214,183781214,0.52113
5/21/2009,Terminator Salvation,200000000,125322469,365491792,165491792,0.547208
6/17/2011,Green Lantern,200000000,116601172,219535492,19535492,0.911014
