Release Date,Movie Title,Production Budget,Domestic Gross,Worldwide Gross ,Profit,Ratio
12/14/2018,If Beale Street Could Talk,12000000,14915773,21398371,9398371,0.56079
7/14/2017,Wish Upon,12000000,14301505,23477345,11477345,0.511131
8/6/1997,Def Jam's How To Be a Player,12000000,14010363,14010363,2010363,0.856509
10/30/1998,Living Out Loud,12000000,12905901,12905901,905901,0.929807
10/3/2008,Rachel Getting Married,12000000,12796861,17475475,5475475,0.686677
3/20/1981,The Postman Always Rings Twice,12000000,12200000,44200000,32200000,0.271493
12/12/2003,Girl with a Pearl Earring,12000000,11634362,43153588,31153588,0.278077
2/10/1982,Das Boot,12000000,11487676,84970337,72970337,0.141226
2/26/2016,Unforgettable,12000000,11368012,16221211,4221211,0.739772
12/3/2004,House of Flying Daggers,12000000,11050094,92863945,80863945,0.129221
3/11/2020,I Still Believe,12000000,10410004,16368001,4368001,0.733138
3/22/2002,Sorority Boys,12000000,10198766,12516222,516222,0.958756
10/13/2017,Marshall,12000000,10051659,10116816,-1883184,1.18614
12/5/2008,Cadillac Records,12000000,8195551,8942516,-3057484,1.3419
9/14/2012,Arbitrage,12000000,7919574,35830713,23830713,0.334908
10/24/2060,The Alamo,12000000,7900000,7900000,-4100000,1.51899
5/12/2000,Screwed,12000000,6982680,6982680,-5017320,1.71854
10/20/2006,Running With Scissors,12000000,6860000,8706701,-3293299,1.37825
9/3/1993,Fortress,12000000,6730578,46730578,34730578,0.256791
4/20/2012,For Greater Glory: The True Story of Cristiada,12000000,5669081,10026255,-1973745,1.19686
11/17/2006,For Your Consideration,12000000,5549923,5549923,-6450077,2.16219
11/20/1998,Celebrity,12000000,5078660,6200000,-5800000,1.93548
6/20/2003,From Justin to Kelly,12000000,4922166,4922166,-7077834,2.43795
6/6/1986,Invaders from Mars,12000000,4884663,4984663,-7015337,2.40738
3/22/1996,Girl 6,12000000,4880941,4880941,-7119059,2.45854
10/22/2003,In the Cut,12000000,4717455,23693646,11693646,0.506465
2/22/2008,Charlie Bartlett,12000000,3950294,5295909,-6704091,2.2659
2/13/2009,Two Lovers,12000000,3149034,16349034,4349034,0.733988
11/15/2013,La grande bellezza,12000000,2883879,29545082,17545082,0.406159
