Release Date,Movie Title,Production Budget,Domestic Gross,Worldwide Gross,Profit,Profit%
11/18/2011,Happy Feet Two,135000000,64006466,157956466,22956466,17.00478963
7/28/2006,Miami Vice,135000000,63478838,164920076,29920076,22.16301926
10/31/2018,The Nutcracker and the Four Realms,132900000,54858851,170024300,37124300,27.93401053
6/24/2005,War of the Worlds,132000000,234280354,606836535,474836535,359.7246477
11/26/2014,Penguins of Madagascar,132000000,83350911,366942531,234942531,177.9867659
11/15/2013,The Hunger Games: Catching Fire,130000000,424668047,864868047,734868047,565.2831131
5/31/2004,Harry Potter and the Prisoner of Azkaban,130000000,249757726,789592708,659592708,507.3790062
8/3/2007,The Bourne Ultimatum,130000000,227471070,444043396,314043396,241.5718431
7/3/2018,Ant-Man and the Wasp,130000000,216648740,623144660,493144660,379.3420462
6/6/2008,Kung Fu Panda,130000000,215434591,631910531,501910531,386.0850238
7/14/2015,Ant-Man,130000000,180202163,518858449,388858449,299.1218838
3/19/2015,Home,130000000,177397510,385997896,255997896,196.9214585
12/19/2018,Mary Poppins Returns,130000000,171958438,348901032,218901032,168.3854092
10/28/2011,Puss in Boots,130000000,149260504,554987477,424987477,326.9134438
11/5/2010,Megamind,130000000,148415853,321887208,191887208,147.6055446
7/18/2003,Bad Boys II,130000000,138540870,273271982,143271982,110.2092169
3/20/2014,Rio 2,130000000,131538435,492846291,362846291,279.1125315
7/23/2010,Salt,130000000,118311368,290650494,160650494,123.5773031
3/27/2014,Noah,130000000,101200044,352831065,222831065,171.4085115
10/28/2011,The Adventures of Tintin,130000000,77591831,373993951,243993951,187.6876546
5/31/2013,After Earth,130000000,60522097,251499665,121499665,93.46128077
11/26/2008,Australia,130000000,49554002,215080810,85080810,65.44677692
7/19/2013,R.I.P.D.,130000000,33618855,79076678,-50923322,-39.17178615
1/3/2019,How to Train Your Dragon: The Hidden World,129000000,160799505,522747474,393747474,305.2306
11/18/2011,The Twilight Saga: Breaking Dawn Part 1,127500000,281287133,689420051,561920051,440.7216086
5/19/2000,Dinosaur,127500000,137748063,356148063,228648063,179.3318141
2/23/2017,Logan,127000000,226277068,614202315,487202315,383.6238701
12/18/2014,Night at the Museum: Secret of the Tomb,127000000,113746621,353756621,226756621,178.5485205
7/13/2011,Harry Potter and the Deathly Hallows: Part II,125000000,381193157,1333857729,1208857729,967.0861832
11/19/2014,The Hunger Games: Mockingjay - Part 1,125000000,337135885,766575131,641575131,513.2601048
11/15/2001,Harry Potter and the Sorcerer’s Stone,125000000,317871467,965054122,840054122,672.0432976
12/4/2019,Jumanji: The Next Level,125000000,316831246,798332900,673332900,538.66632
11/17/2010,Harry Potter and the Deathly Hallows: Part I,125000000,296131568,955371891,830371891,664.2975128
5/19/2006,The Da Vinci Code,125000000,217536138,767820459,642820459,514.2563672
4/30/2003,X-Men 2,125000000,214949694,406348630,281348630,225.078904
4/21/2011,Fast Five,125000000,210031325,630163454,505163454,404.1307632
8/8/2014,Teenage Mutant Ninja Turtles,125000000,191204754,485004754,360004754,288.0038032
12/16/2011,Sherlock Holmes: A Game of Shadows,125000000,186848418,535663443,410663443,328.5307544
5/27/2004,The Day After Tomorrow,125000000,186740799,555840117,430840117,344.6720936
3/17/2017,The Boss Baby,125000000,175003033,527965936,402965936,322.3727488
4/1/2010,Clash of the Titans,125000000,163214888,493214888,368214888,294.5719104
10/12/2016,Trolls,125000000,153707064,343242613,218242613,174.5940904
5/19/1998,Godzilla,125000000,136314294,376000000,251000000,200.8
5/30/2012,Prometheus,125000000,126477084,402448265,277448265,221.958612
8/10/2012,The Bourne Legacy,125000000,113203870,280355920,155355920,124.284736
6/20/1997,Batman & Robin,125000000,107325195,238317814,113317814,90.6542512
7/5/2018,Skyscraper,125000000,68420120,304868961,179868961,143.8951688
1/3/2020,The Call of the Wild,125000000,62342368,107360936,-17639064,-14.1112512
8/3/2012,Total Recall,125000000,58877969,211856088,86856088,69.4848704
12/21/2016,Assassin’s Creed,125000000,54647948,240759682,115759682,92.6077456
12/29/2016,Monster Trucks,125000000,33370166,61642798,-63357202,-50.6857616
8/27/1999,The 13th Warrior,125000000,32698899,61698899,-63301101,-50.6408808
11/17/2000,How the Grinch Stole Christmas,123000000,260348825,345445403,222445403,180.8499211
5/24/2000,Mission: Impossible 2,120000000,215409889,549588516,429588516,357.99043
6/30/2000,The Perfect Storm,120000000,182618434,328711434,208711434,173.926195
7/20/2016,Jason Bourne,120000000,162192920,416168316,296168316,246.80693
6/15/2007,Fantastic Four: Rise of the Silver Surfer,120000000,131921738,289480691,169480691,141.2339092
11/21/2012,Life of Pi,120000000,124987022,619310368,499310368,416.0919733
2/16/2007,Ghost Rider,120000000,115802596,229545589,109545589,91.28799083
4/9/2018,Rampage,120000000,101028233,427947217,307947217,256.6226808
6/27/2003,Charlie's Angels: Full Throttle,120000000,100814328,227163273,107163273,89.3027275
8/9/2013,Elysium,120000000,93050117,286192091,166192091,138.4934092
4/19/2013,Oblivion,120000000,89107235,287916633,167916633,139.9305275
3/24/2017,Power Rangers,120000000,85364450,142531552,22531552,18.77629333
7/19/2002,Stuart Little 2,120000000,64956806,166000000,46000000,38.33333333
2/12/2014,RoboCop,120000000,58607007,242981799,122981799,102.4848325
6/11/2004,The Chronicles of Riddick,120000000,57712751,107212751,-12787249,-10.65604083
8/5/2015,The Fantastic Four,120000000,56117548,167849187,47849187,39.8743225
5/9/2008,Speed Racer,120000000,43945766,93394462,-26605538,-22.17128167
7/22/2005,The Island,120000000,35818913,163018913,43018913,35.84909417
12/17/2010,How Do You Know?,120000000,30212620,49628177,-70371823,-58.64318583
6/23/2010,Knight and Day,117000000,76423035,258751370,141751370,121.1550171
1/25/2021,Tang Ren Jie Tan An 3,117000000,0,699084069,582084069,497.5077513
10/2/2018,Venom,116000000,213511408,853530899,737530899,635.8024991
5/19/1999,Star Wars Ep. I: The Phantom Menace,115000000,474544677,1027044677,912044677,793.0823278
5/19/2005,Star Wars Ep. III: Revenge of the Sith,115000000,380270577,848998877,733998877,638.259893
5/16/2002,Star Wars Ep. II: Attack of the Clones,115000000,310676740,656695615,541695615,471.0396652
11/2/2001,Monsters Inc.,115000000,290149425,560483719,445483719,387.377147
7/26/2013,The Wolverine,115000000,132556852,416456852,301456852,262.136393
2/7/1997,Dante’s Peak,115000000,67163857,178200000,63200000,54.95652174
